product_name,product_date,product_customize,product_description,product_current_size,product_price,product_color,product_type,product_reserved,product_category,avaliable_sizes
'Cute Blouse',"",true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi ultricies imperdiet malesuada. Morbi porta, libero eget maximus posuere, lacus diam consequat neque, sed ullamcorper velit sem quis tellus",xs,'$40.32',"",'Shirt',false,'Child',
'1920 Flaper',"",true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi ultricies imperdiet malesuada. Morbi porta, libero eget maximus posuere, lacus diam consequat neque, sed ullamcorper velit sem quis tellus",s,'$40.32',"",'Dress',false,'Woman',""
'1980's jump suit',"",true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi ultricies imperdiet malesuada. Morbi porta, libero eget maximus posuere, lacus diam consequat neque, sed ullamcorper velit sem quis tellus",m,'$40.32',"",'Jumpsuit',false,'Men',""
'Cute Shoes',"",true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi ultricies imperdiet malesuada. Morbi porta, libero eget maximus posuere, lacus diam consequat neque, sed ullamcorper velit sem quis tellus",l,'$40.32',"",'Shoe',false,'Woman',""
'For Him',"",true,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi ultricies imperdiet malesuada. Morbi porta, libero eget maximus posuere, lacus diam consequat neque, sed ullamcorper velit sem quis tellus",xl,'$40.32',"",'Shirt',false,'Men',""
'For Her',"",false,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi ultricies imperdiet malesuada. Morbi porta, libero eget maximus posuere, lacus diam consequat neque, sed ullamcorper velit sem quis tellus",m,'$40.32',"",'Shirt',false,'Woman',""
'The Angular',"",false,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi ultricies imperdiet malesuada. Morbi porta, libero eget maximus posuere, lacus diam consequat neque, sed ullamcorper velit sem quis tellus",s,'$40.32',"",'Shirt',false,'Men',""
'Over the Top',"",false,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi ultricies imperdiet malesuada. Morbi porta, libero eget maximus posuere, lacus diam consequat neque, sed ullamcorper velit sem quis tellus",s,'$40.32',"",'Shirt',false,'Woman',""
'Croppy',"",false,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi ultricies imperdiet malesuada. Morbi porta, libero eget maximus posuere, lacus diam consequat neque, sed ullamcorper velit sem quis tellus",xs,'$40.32',"",'Shirt',false,'Woman',""
'Sumer Breeze',"",false,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi ultricies imperdiet malesuada. Morbi porta, libero eget maximus posuere, lacus diam consequat neque, sed ullamcorper velit sem quis tellus",s,'$40.32',"",'Skirt',false,'Woman',""
